a_la_carte	table_d'hote
insalubrity	salubrity
insanity	sanity
insecureness	secureness
insecurity	security
insensibility	sensibility
insensitiveness	sensitiveness
insensitivity	sensitivity
insentience	sentience
inside	outside
insignificance	significance
insincerity	sincerity
insolubility	solubility
insolvency	solvency
insolvent	solvent
insomnia	hypersomnia
instability	stability
insubordination	subordination
insubstantiality	substantiality
insufficiency	sufficiency
insulator	conductor
insurability	uninsurability
insured	uninsured
intangibility	tangibility
intangible	tangible
integration	segregation
intellectual	nonintellectual
intelligence	stupidity
intelligibility	unintelligibility
intemperance	temperance
intensive	extensive
interest	bore
interestingness	uninterestingness
interference	noninterference
interior	exterior
intermediate	terminal
international	national
international_flight	domestic_flight
international_law	civil_law
international_waters	territorial_waters
internationalism	nationalism
interrogative	declarative
interrogatory	declaratory
interstate	intrastate
intervention	nonintervention
intolerance	tolerance
intractability	tractability
intransitive	transitive
intransitivity	transitivity
intron	exon
introversion	ambiversion	extraversion
introvert	extrovert
inutility	utility
invalid	valid
invariability	variability
invariable	variable
invariableness	variableness
inverse	direct
invertebrate	vertebrate
invisibility	visibility
involvement	non-involvement
invulnerability	vulnerability
inwardness	outwardness
ionic	nonionic
irrational	rational
irregular	regular
irregularity	regularity
irrelevance	relevance
irresoluteness	resoluteness
irresponsibility	responsibility
irresponsibleness	responsibleness
irreverence	reverence
irreversibility	reversibility
irreversible_process	reversible_process
isometric	isotonic
isotropy	anisotropy
issue	recall
join	disjoin
joint	separate
joy	sorrow
judgment_in_personam	judgment_in_rem
judgment_in_rem	judgment_in_personam
judiciousness	injudiciousness
junior	senior
justice	injustice
juvenile	adult
katamorphism	anamorphism
keep	break	lose
kern	kern
kinanesthesia	kinesthesia
kind	unkind
kindness	unkindness
kinesthesia	kinanesthesia
king	queen
knot	unknot
know	ignore
lady	Lord
laity	clergy
larboard	starboard
large	small
largeness	smallness
lash	unlash
last	first
lateness	earliness
latter	former
laugh	cry
lawfulness	unlawfulness
laxative	costive
lay_witness	expert_witness
layman	clergyman
lead	deficit
leaded_gasoline	unleaded_gasoline
leader	follower
leading	following
lean	rich
leanness	fatness
least	most
leave	arrive
leeward	windward
